Week,clearblue20
2020-01-05,79
2020-01-12,62
2020-01-19,71
2020-01-26,75
2020-02-02,58
2020-02-09,65
2020-02-16,63
2020-02-23,85
2020-03-01,58
2020-03-08,58
2020-03-15,53
2020-03-22,59
2020-03-29,60
2020-04-05,68
2020-04-12,75
2020-04-19,67
2020-04-26,67
2020-05-03,84
2020-05-10,57
2020-05-17,79
2020-05-24,59
2020-05-31,70
2020-06-07,84
2020-06-14,61
2020-06-21,63
2020-06-28,71
2020-07-05,90
2020-07-12,68
2020-07-19,91
2020-07-26,88
2020-08-02,70
2020-08-09,91
2020-08-16,81
2020-08-23,65
2020-08-30,66
2020-09-06,60
2020-09-13,77
2020-09-20,57
2020-09-27,71
2020-10-04,74
2020-10-11,100
2020-10-18,68
2020-10-25,75
2020-11-01,52
2020-11-08,78
2020-11-15,65
2020-11-22,70
2020-11-29,61
2020-12-06,70
2020-12-13,67
2020-12-20,47
2020-12-27,56
