,url,headline,date,claim
34,https://apnews.com/article/fact-checking-afs:Content:9974410854,"Supposed image of Earth, Venus and Jupiter from Mars is computer generated",24-02-2021,"CLAIM: Photo captured on the surface of Mars shows Earth, Venus and Jupiter lined up in a row in space."
35,https://apnews.com/article/fact-checking-afs:Content:9958902169,Biden didn’t tweet about Coca-Cola ‘cultural reappropriation’,24-02-2021,"CLAIM: President Joe Biden tweeted that he was “proud” to see Coca-Cola educate its staff in “cultural reappropriation,” because white and Black people talk in different ways. "
36,https://apnews.com/article/fact-checking-afs:Content:9953495293,Video makes misleading claims about COVID case counts,23-02-2021,"A video circulating on Facebook makes misleading claims about a recent World Health Organization notice regarding COVID-19 testing. The video, created by former Minnesota state senator Dr. Scott..."
37,https://apnews.com/article/fact-checking-afs:Content:9979823265,Biden didn’t block Texas from increasing power during emergency,23-02-2021,CLAIM: An order from the U.S. Department of Energy under President Joe Biden blocked Texas from generating adequate power during the recent statewide emergency because it would exceed pollution...
38,https://apnews.com/article/fact-checking-afs:Content:9960388160,Biden didn’t tweet about ‘minorities not being able to use the internet’,22-02-2021,"CLAIM: On Feb. 18, President Joe Biden tweeted that comments on “minorities not being able to use the internet” were “taken out of context.”"
39,https://apnews.com/article/fact-checking-afs:Content:9958606026,Whole Foods Market didn’t post sign banning gendered language,22-02-2021,"CLAIM: A sign from the grocery store chain Whole Foods Market asks customers to avoid using gendered language — including terms like brother, ladies and sir — when talking to other customers and..."
40,https://apnews.com/article/fact-checking-afs:Content:9949571077,Ted Cruz didn’t leave dog unattended during Cancun trip,20-02-2021,CLAIM: Texas Sen. Ted Cruz left his dog alone in a freezing house when his family traveled to Cancun during the statewide emergency.
41,https://apnews.com/article/fact-checking-afs:Content:9970310368,Viral video does not include actual sounds from Mars,20-02-2021,CLAIM: Video from the surface of Mars includes genuine sounds from the surface of the planet.
42,https://apnews.com/article/fact-checking-afs:Content:9937763424,Fake tweet attributes climate change comment to Sen. Ted Cruz,19-02-2021,"CLAIM: In 2016, Texas Sen. Ted Cruz  tweeted, ""I'll believe in climate change when Texas freezes over."" "
43,https://apnews.com/article/fact-checking-afs:Content:9968210061,Posts share false FEMA phone number for storm aid in Texas  ,19-02-2021,"CLAIM: FEMA is paying for hotel rooms in Texas for anyone
without heat and water. Call 1-800-745-0243."
44,https://apnews.com/article/fact-checking-afs:Content:9956811446,Posts falsely claim Joel Osteen’s megachurch denied Texans shelter,19-02-2021,"CLAIM: Celebrity pastor Joel Osteen is not allowing people to shelter in his megachurch in Houston, even as Texas residents are freezing and left without power.  "
45,https://apnews.com/article/fact-checking-afs:Content:9954974006,Wreath-laying ceremony video doesn’t show Biden faked inauguration,18-02-2021,"CLAIM: Video footage shows that certain aspects of the wreath-laying ceremony for President Joe Biden at the Tomb of the Unknown Soldier on Jan. 20 were different from past presidents’ ceremonies,..."
46,https://apnews.com/article/fact-checking-afs:Content:9951030547,"Photo of icy boats is from Switzerland, not Texas",17-02-2021,"CLAIM: Photo shows boats covered with ice in a marina in Galveston, Texas, during this week’s record freeze."
47,https://apnews.com/article/fact-checking-afs:Content:9953125062,Photo does not show a helicopter de-icing a wind turbine in Texas,17-02-2021,CLAIM: Photo shows a helicopter spraying a frozen wind turbine with chemicals in Texas. 
48,https://apnews.com/article/fact-checking-afs:Content:9949303685,Video clip of Biden interview with People magazine was altered,16-02-2021,"CLAIM: People magazine footage shows that President Joe Biden is stumped for words and unable to respond during an interview as his wife, first lady Jill Biden, looks on. "
49,https://apnews.com/article/fact-checking-afs:Content:9960177151,Biden did not revoke millions in funding from HBCUs,12-02-2021,CLAIM: President Joe Biden just revoked $250 million in spending on the United Negro College Fund that Trump pledged to give to historically Black colleges for the next 10 years. 
